time,id,n_cars
508937254718833, 3, 5
508937257567625, 4, 7
508937259113750, 5, 1
508938248607541, 0, 8
508938250556166, 1, 9
508938252428083, 2, 6
508938260974833, 6, 3
508938262607333, 7, 0
508938264192791, 8, 9
508938265678458, 3, 2
508938267490041, 4, 9
508938269158875, 5, 0
508939258932541, 0, 9
508939261646250, 1, 5
508939263303500, 2, 6
508939270825208, 6, 0
508939272494291, 7, 6
508939274048875, 8, 8
508939272531750, 3, 3
508939277331333, 4, 4
508939278932958, 5, 4
508940269854458, 0, 3
508940272297541, 1, 7
508940273952875, 2, 0
508940280779958, 6, 9
508940282295500, 7, 3
508940283851166, 8, 0
508940287047500, 3, 7
508940288938375, 4, 2
508940290684791, 5, 9
508941280844666, 0, 3
508941283401250, 1, 5
508941285161666, 2, 0
508941290527166, 6, 5
508941292158458, 7, 1
508941293848000, 8, 9
508941297256958, 3, 9
508941299004333, 4, 4
508941300604333, 5, 4
508942291854041, 0, 9
508942294148875, 1, 0
508942295695541, 2, 7
508942300535958, 6, 4
508942302387625, 7, 0
508942304011458, 8, 4
508942307223666, 3, 1
508942308956500, 4, 4
508942310624125, 5, 6
508943302390416, 0, 8
508943305055291, 1, 8
508943306769875, 2, 8
508943310544583, 6, 7
508943312136000, 7, 3
508943313715875, 8, 0
508943317205666, 3, 2
508943318803041, 4, 3
508943320358916, 5, 9
508944313390250, 0, 3
508944315645958, 1, 3
508944317254291, 2, 6
508944320266708, 6, 6
508944322003750, 7, 9
508944323578458, 8, 7
508944326996291, 3, 4
508944328645875, 4, 3
508944330246000, 5, 0
508945323956750, 0, 3
508945326653166, 1, 8
508945328400041, 2, 1
508945330211208, 6, 1
508945331958250, 7, 6
508945333675583, 8, 3
508945336880541, 3, 0
508945338537333, 4, 6
508945340164791, 5, 8
508946335113958, 0, 7
508946337444666, 1, 8
508946339122166, 2, 3
508946340362958, 6, 9
508946342246250, 7, 3
508946343949125, 8, 7
508946346791250, 3, 6
508946348453958, 4, 0
508946350179666, 5, 5
508947345750583, 0, 2
508947347834500, 1, 4
508947349469625, 2, 1
508947350576541, 6, 4
508947352644875, 3, 8
508947352758875, 7, 6
508947354379166, 4, 4
508947357728791, 5, 5
508947355998500, 8, 6
508948356089916, 0, 4
508948358115375, 1, 8
508948359739916, 2, 8
508948364344458, 3, 9
508948365924083, 6, 6
508948367649458, 7, 9
508948366035458, 4, 5
508948369308875, 8, 3
508948370959458, 5, 1
508949366304291, 0, 8
508949368465083, 1, 0
508949370193083, 2, 8
508949377609041, 6, 5
508949379175875, 3, 5
508949379225583, 7, 8
508949380946458, 4, 8
508949382519708, 8, 6
508949384100041, 5, 7
508950376930875, 0, 1
508950379353375, 1, 0
508950381037791, 2, 3
508950390706708, 6, 8
508950392317958, 7, 0
508950390729291, 3, 6
508950395521458, 4, 0
508950393906250, 8, 7
508950397153583, 5, 5
508951387736666, 0, 8
508951390154000, 1, 1
508951391816208, 2, 3
508951401043333, 6, 1
508951401066458, 3, 7
508951404374708, 4, 5
508951402686916, 7, 3
508951405931208, 5, 4
508951407603541, 8, 9
508952398436083, 0, 9
508952400686500, 1, 5
508952402384166, 2, 6
508952414203125, 3, 6
508952415839583, 4, 5
508952417805708, 5, 4
508952415823833, 6, 7
508952420948666, 7, 6
508952422488333, 8, 8
508953409181916, 0, 2
508953411596583, 1, 9
508953413266416, 2, 5
508953424367708, 3, 9
508953424382500, 6, 7
508953426040833, 4, 8
508953427677500, 7, 6
508953429279000, 5, 2
508953430868083, 8, 6
508954419887541, 0, 9
508954422372541, 1, 0
508954424059125, 2, 1
508954437437916, 3, 5
508954439146458, 4, 7
508954439046666, 6, 0
508954440720375, 5, 3
508954442292458, 7, 2
508954445579125, 8, 0
508955430728583, 0, 8
508955433104791, 1, 2
508955434779250, 2, 6
508955448994833, 3, 2
508955450783041, 4, 2
508955452457958, 5, 5
508955452191791, 6, 8
508955455572833, 7, 0
508955457131375, 8, 8
508956441487083, 0, 4
508956443979958, 1, 8
508956445717541, 2, 3
508956459029333, 3, 0
508956460725416, 4, 6
508956462298291, 5, 1
508956463790875, 6, 0
508956465489791, 7, 0
508956467086875, 8, 0
508957452404541, 0, 2
508957454935875, 1, 6
508957456661791, 2, 4
508957468871583, 3, 4
508957470478083, 4, 6
508957472024875, 5, 0
508957473758416, 6, 3
508957475308208, 7, 0
508957476893458, 8, 3
508958463338708, 0, 6
508958465777916, 1, 5
508958467487250, 2, 7
508958478636166, 3, 1
508958480408750, 4, 7
508958482022625, 5, 5
508958478648750, 6, 0
508958485166500, 7, 6
508958486712791, 8, 1
508959474162041, 0, 3
508959476640708, 1, 8
508959478367875, 2, 3
508959487534833, 3, 1
508959489168791, 4, 5
508959490717458, 5, 0
508959493322750, 6, 6
508959494879208, 7, 9
508959496585958, 8, 0
508960485067125, 0, 8
508960487413250, 1, 2
508960489074041, 2, 8
508960497266708, 3, 9
508960498990500, 4, 1
508960500564333, 5, 2
508960498316625, 6, 2
508960503856916, 7, 8
508960505476541, 8, 5
508961495778000, 0, 4
508961498168833, 1, 3
508961499884208, 2, 3
508961507153958, 3, 3
508961508727041, 4, 3
508961510381791, 5, 7
508961513537041, 6, 9
508961515241083, 7, 5
508961516816875, 8, 1
508962506583791, 0, 0
508962508954875, 1, 8
508962510637083, 2, 3
508962516958250, 3, 6
508962518622083, 4, 7
508962519879916, 6, 4
508962520258833, 5, 0
508962521857916, 7, 8
508962525123416, 8, 7
508963517328666, 0, 8
508963519657416, 1, 3
508963521360250, 2, 9
508963528491541, 3, 4
508963530068625, 4, 5
508963531657083, 5, 8
508963531767583, 6, 2
508963534887583, 7, 5
508963536560250, 8, 0
508964528023375, 0, 5
508964530641791, 1, 2
508964532382541, 2, 4
508964538262083, 3, 0
508964539891750, 4, 4
508964541428666, 5, 1
508964543037291, 6, 6
508964544575208, 7, 1
508964546065541, 8, 7
508965539010583, 0, 9
508965541491041, 1, 9
508965543167833, 2, 6
508965548048291, 3, 2
508965549796166, 4, 7
508965551441833, 5, 3
508965552393708, 6, 6
508965554851875, 7, 6
508965556465166, 8, 4
508966549824750, 0, 0
508966552211291, 1, 0
508966553950083, 2, 0
508966555577125, 3, 4
508966557334416, 4, 6
508966559033250, 5, 0
508966563065125, 6, 5
508966564705208, 7, 6
508966566318750, 8, 4
508967560688458, 0, 0
508967562923916, 1, 1
508967564549666, 2, 9
508967565670458, 3, 4
508967568080958, 4, 0
508967569658250, 5, 3
508967572927458, 6, 1
508967574492833, 7, 6
508967576060958, 8, 5
508968571407625, 0, 7
508968573616625, 1, 8
508968575226208, 2, 5
508968576264916, 3, 0
508968578657916, 4, 3
508968580267083, 6, 9
508968580427375, 5, 7
508968582095000, 7, 9
508968585354375, 8, 1
508969581855208, 0, 0
508969584372000, 1, 5
508969585993291, 2, 4
508969588743333, 3, 5
508969590343458, 4, 2
508969591945958, 6, 3
508969591966875, 5, 5
508969593593458, 7, 8
508969596903333, 8, 4
508970592633750, 0, 8
508970595026041, 1, 4
508970596737541, 2, 6
508970600194000, 3, 7
508970600194125, 6, 4
508970601860666, 4, 3
508970603498625, 7, 0
508970607017125, 8, 6
508970605320166, 5, 6
508971603495625, 0, 2
508971605495083, 1, 3
508971607104750, 2, 0
508971613669583, 6, 5
508971615422375, 7, 5
508971615288083, 3, 6
508971618731625, 4, 4
508971620360000, 5, 8
508971617089500, 8, 6
508972613671458, 0, 3
508972615758625, 1, 8
508972617396416, 2, 5
508972626999791, 3, 0
508972628687666, 4, 9
508972630405458, 5, 4
508972627016166, 6, 4
508972633626166, 7, 7
508972635262000, 8, 9
508973623983500, 0, 3
508973626495958, 1, 8
508973628210291, 2, 7
508973637021916, 3, 7
508973638876958, 4, 0
508973640510583, 5, 8
508973641867166, 6, 3
508973643713708, 7, 5
508973645353916, 8, 3
508974634633625, 0, 2
508974638260875, 1, 0
508974639915458, 2, 6
508974647123750, 3, 8
508974648670958, 4, 7
508974650164750, 5, 0
508974652063375, 6, 2
508974653562041, 7, 7
508974655029791, 8, 4
508975646437208, 0, 5
508975649265875, 1, 3
508975651057250, 2, 6
508975656748333, 3, 7
508975658382291, 4, 5
508975660115916, 5, 6
508975661595208, 6, 4
508975663448791, 7, 0
508975665125000, 8, 9
508976657910291, 0, 4
508976660082583, 1, 8
508976661755958, 2, 9
508976666789583, 3, 3
508976668752916, 4, 3
508976670651958, 5, 5
508976666812500, 6, 9
508976674043958, 7, 3
508976675627625, 8, 9
508977664841333, 0, 7
508977667219583, 1, 2
508977668937500, 2, 7
508977677456875, 3, 0
508977679165875, 4, 8
508977681003083, 5, 4
508977682190958, 6, 2
508977686095875, 7, 8
508977687728041, 8, 1
508978675616583, 0, 0
508978677625041, 1, 0
508978680013750, 2, 7
508978687871750, 3, 8
508978690438541, 4, 3
508978692296500, 5, 1
508978694497208, 6, 1
508978696317291, 7, 7
508978699259666, 8, 2
508979686832166, 0, 4
508979688999583, 1, 9
508979691050458, 2, 5
508979697421083, 3, 6
508979700206500, 4, 7
508979703022833, 5, 4
508979706047791, 6, 0
508979707610375, 7, 3
508979709147166, 8, 7
508980697839750, 0, 6
508980701315333, 1, 5
508980703758500, 2, 5
508980710013083, 3, 5
508980712221041, 4, 1
508980715993208, 5, 8
508980714869666, 6, 3
508980721120291, 7, 4
508980723080250, 8, 1
